UniqueID,Species,Breed,Gender,SpayNeuter,Borough,ZipCode,Season,trainability_value,group,Age_Range
7785,DOG,labrador retriever,M,TRUE,Queens,11101,Winter,0.74,Sporting Group,Adult (3-7 Years)
7786,DOG,cane corso,F,FALSE,Queens,11375,Spring,0.59,Working Group,Adult (3-7 Years)
7787,DOG,beagle,M,FALSE,Queens,11372,Spring,0.75,Hound Group,Senior (8+ Years)
7788,DOG,siberian husky,M,TRUE,Queens,11377,Spring,0.0,Working Group,Senior (8+ Years)
7789,DOG,rottweiler,M,FALSE,Queens,11377,Spring,0.3,Working Group,Puppy/Young (0-2 Years)
7790,DOG,bull terrier,F,FALSE,Queens,11694,Spring,0.36,Terrier Group,Adult (3-7 Years)
7791,DOG,boxer,U,FALSE,Queens,,Winter,0.93,Working Group,
7792,DOG,bull terrier,U,FALSE,Queens,11361,Spring,0.2,Terrier Group,
7793,DOG,bull terrier,U,FALSE,Queens,11419,Spring,0.33,Terrier Group,
7794,DOG,chow chow,M,TRUE,Queens,11419,Spring,0.16,Non-Sporting Group,Adult (3-7 Years)
7795,DOG,dachshund,U,FALSE,Queens,11372,Spring,0.5,Hound Group,
7796,DOG,shih tzu,U,FALSE,Queens,,Spring,0.47,Toy Group,
7797,DOG,chihuahua,M,TRUE,Queens,11358,Spring,0.37,Toy Group,Adult (3-7 Years)
7799,DOG,bull terrier,M,FALSE,Queens,11434,Spring,0.42,Terrier Group,Adult (3-7 Years)
7802,DOG,chihuahua,F,TRUE,Queens,11106,Spring,0.09,Toy Group,Adult (3-7 Years)
7803,DOG,bull terrier,F,FALSE,Queens,11436,Spring,0.42,Terrier Group,Senior (8+ Years)
7804,DOG,german pinscher,M,FALSE,Queens,,Spring,0.18,Working Group,
7805,DOG,miniature bull terrier,F,FALSE,Queens,11691,Spring,0.58,Terrier Group,Puppy/Young (0-2 Years)
7807,DOG,bull terrier,U,FALSE,Queens,11101,Spring,0.76,Terrier Group,
7808,DOG,bull terrier,U,FALSE,Queens,11101,Spring,0.53,Terrier Group,
7810,DOG,siberian husky,M,FALSE,Queens,11420,Spring,0.68,Working Group,Senior (8+ Years)
7812,DOG,boxer,M,FALSE,Queens,11436,Spring,0.52,Working Group,
7813,DOG,american staffordshire terrier,M,FALSE,Queens,11691,Spring,0.68,Terrier Group,Puppy/Young (0-2 Years)
7814,DOG,german shepherd dog,M,TRUE,Queens,11433,Spring,1.0,Herding Group,Puppy/Young (0-2 Years)
7815,DOG,staffordshire bull terrier,F,TRUE,Queens,11101,Spring,0.5,Terrier Group,Adult (3-7 Years)
7821,DOG,chihuahua,M,FALSE,Queens,,Spring,0.51,Toy Group,
7822,DOG,australian shepherd,F,FALSE,Queens,11356,Spring,0.81,Herding Group,
7823,DOG,miniature pinscher,M,FALSE,Queens,,Spring,0.52,Toy Group,Adult (3-7 Years)
7828,DOG,dachshund,M,FALSE,Queens,10075,Spring,0.38,Hound Group,Senior (8+ Years)
7829,DOG,bull terrier,F,TRUE,Queens,11412,Spring,0.88,Terrier Group,
7832,DOG,chihuahua,U,FALSE,Queens,,Spring,0.7,Toy Group,
7833,DOG,boxer,U,FALSE,Queens,,Spring,0.32,Working Group,
7836,DOG,boston terrier,F,TRUE,Queens,11385,Spring,0.76,Non-Sporting Group,Adult (3-7 Years)
7837,DOG,bull terrier,U,FALSE,Queens,11369,Spring,0.31,Terrier Group,
